#CODIGO_CICLO;DESCRICAO_CICLO
1;Grupo I
3;Grupo III
5;Tardio - Desabilitado a partir de dezembro de 2016
6;Desabilitado a partir de dezembro de 2016 - Intermediário
8;Superprecoce - Desabilitado a partir de dezembro de 2016
9;Semiprecoce - Desabilitado a partir de dezembro de 2016
11;Perene
12;Curto - Desabilitado a partir de dezembro de 2016
13;Muito curto - Desabilitado a partir de dezembro de 2016
14;Longo - Desabilitado a partir de dezembro de 2016
15;Semitardio - Desabilitado a partir de dezembro de 2016
99;Não informado
2;Grupo II
4;Grupo IV
