#CODIGO_BLR;DESCRICAO_BLR
001;Resolução 4482/2016
002;Resolução 4504/2016
003;Resolução 4507/2016
004;Resolução 4508/2016
005;Resoluções 4519/2016 e 4522/2016
006;Resolução 4532/2016
008;MCR 11-1-4 (Res CMN 4.889 art 1º; Res CMN 4.905 art 5º) - Fonte: BNDES
009;Lei n 13.340/2016
007;MCR 2-6-4 e 2-6-5 (Res CMN 4.883 art 1º; Res CMN 4.905 art 1º)
010;Resolução 4545/2016
011;Resolução 4554/2017
012;Resolução 4565/2017
013;Resolução 4568/2017
014;Resolução 4591/2017
015;MCR 9-2-4 (Res CMN 4.889 art 1º; Res CMN 4.905 art 3º) - FUNCAFÉ
016;MCR 2-6-7 (Res CMN 4.883 art 1º) - RETORNO CAPITAL EMPRESTADO - FONTES LIVRES
018;MCR 3-3-12 (Resolução CMN nº 4.883 art 1º)
017;MCR 10-1-25 (Res 4.889 art 1º; Res 4.905 art 4º;Res 5.075 art 1º) - PRONAF
019;MCR 3-2-15 (Res CMN 4.883 art 1º) - CUSTEIO ALONGADO
020;MCR 4-7-12 (Res CMN 4.900 art 1º; Res CMN 4.905 art 2º) - FUNDO DE TERRAS E DA REFORMA AGRÁRIA
021;MCR 2-6-10 (Res CMN 4.883 art 1º)
022;MCR 10-4-5
999;CORREÇÃO DA DATA DE VENCIMENTO
023;Resolução 4.660/2018, Lei n 13.606/2018
024;Resolução 4.883, art.1º, MCR 2-1-9-"b" COMPOSIÇÃO, NOVAÇÃO, ASSUNÇÃO DE DÍVIDA OU OUTRO ACORDO
25;RESOLUÇÃO Nº 4.711, DE 27/02/2019 - BRUMADINHO
026;MCR 3-4-25-"a" (Res CMN 4.883 art 1º)
027;MCR 3-4-25-"d" (Res CMN 4.883 art 1º)
028;Resolução 4.738/2019
029;Resolução 4755/2019
030;Res. 4802, Art. 1º - Seca ou Estiagem/ Res. 4823– Art 1º - FTRA/ Res. No 4840, Art 2, de 30/07/2020
031;Res. No 4801, Art. 1, de 09/04/2020 - Covid-19/ Res. No 4840, Art 1, de 30/07/2020
032;Resolução 4987/2022, art. 2º
