#CODIGO,DESCRICAO
"001","Aplicação de recursos em atividade diversa daquelas previstas na regulamentação do crédito rural"
"002","Obtenção de crédito acima dos limites regulamentares mediante documento ou declaração falsos"
"003","Obtenção de um ou mais financiamentos para aplicação em empreendimento ou item do orçamento já financiado"
"004","Obtenção de crédito mediante orçamento de valor superior ao custo normal ou de mercado do empreendimento"
"005","Obtenção de crédito mediante interposição de outros mutuários, inclusive partes relacionadas"
"006","Obtenção de crédito para aplicação em empreendimento localizado em área cujo uso seja vedado pela legislação ou regulamentação aplicáveis ao crédito rural"
"007","Obtenção de crédito por pessoa natural ou jurídica não enquadrada como beneficiária do crédito rural ou legalmente impedida de ter acesso ao financiamento"
"008","Acesso irregular à subvenção econômica ou ao enquadramento indevido no Proagro (ITEM CANCELADO)"
"999","Outro"
