#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_PRODUTO,DESCRICAO_PRODUTO
"0161","PRORENOVA-RURAL- PROG APOIO  RENOV IMPLANTAÇÃO NOVOS CANAVIAIS- ENCERRADO","1840","CANA-DE-AÇUCAR"
"0164","PRORENOVA-IND- PROG APOIO RENOV IMPLANT NOVOS CANAVIAIS - ENCERRADO","1840","CANA-DE-AÇUCAR"
"0786","Linha de Crédito Rural Instituída pela Res. 4.289/2013 (Renegociação Café Arábica) ENCERRADO","1580","CAFÉ"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","0000","Indicador de renegociação"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","9990","RENEGOCIAÇÃO TOTAL"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","9980","RENEGOCIAÇÃO PARCIAL"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","0841","AQUISIÇÃO DE INSUMOS PARA FORNECIMENTO AOS COOPERADOS"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","8000","REPASSE INTERFINANCEIRO"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","7700","SANEAMENTO FINANCEIRO"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","7380","SUPRIMENTO DE RECURSOS PARA ATENDIMENTO A COOPERADOS"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","1900","CAPITAL DE GIRO"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","1580","CAFÉ"
